model,count,hit_rate_mean,hit_rate_std,hit_rate_min,hit_rate_max,mrr_mean,mrr_std,mrr_min,mrr_max,precision_mean,precision_std,precision_min,precision_max,ndcg_mean,ndcg_std,ndcg_min,ndcg_max,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,rouge_l_f1_mean,rouge_l_f1_std,rouge_l_f1_min,rouge_l_f1_max,semantic_similarity_mean,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,faithfulness_mean,faithfulness_std,faithfulness_min,faithfulness_max,answer_relevancy_mean,answer_relevancy_std,answer_relevancy_min,answer_relevancy_max,llm_quality_score_mean,llm_quality_score_std,llm_quality_score_min,llm_quality_score_max
bge-small,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0586,0.0084,0.0526,0.0645,0.7269,0.0563,0.6871,0.7667,1.0,0.0,1.0,1.0,0.6024,0.0205,0.5879,0.6169,4.0,1.4142,3.0,5.0
minilm-l12,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0586,0.0084,0.0526,0.0645,0.7269,0.0563,0.6871,0.7667,0.75,0.3536,0.5,1.0,0.6024,0.0205,0.5879,0.6169,3.0,2.8284,1.0,5.0
